0.0000000000e+00;5.5895049112e-02;0.0000000000e+00;5.5895049112e-02;0.0000000000e+00
2.0833333333e+03;-1.5069970136e-01;9.5961952516e-02;1.7865916243e-01;2.5745699874e+00
4.1666666667e+03;-1.2817821291e-01;1.9916190026e-01;2.3684407694e-01;2.1426507892e+00
6.2500000000e+03;-9.2097404067e-02;2.7778256480e-01;2.9265181554e-01;1.8909364655e+00
8.3333333333e+03;-4.3716349002e-02;3.5731106913e-01;3.5997544263e-01;1.6925394245e+00
1.0416666667e+04;1.2306747055e-02;4.2531503707e-01;4.2549305139e-01;1.5418687954e+00
1.2500000000e+04;7.5628693620e-02;4.8075575002e-01;4.8666804958e-01;1.4147629715e+00
1.4583333333e+04;1.3368217024e-01;5.2535655743e-01;5.4209817844e-01;1.3216245477e+00
1.6666666667e+04;1.9938427650e-01;5.5957766257e-01;5.9403808814e-01;1.2285093849e+00
1.8750000000e+04;2.6173106026e-01;5.8103566608e-01;6.3726414709e-01;1.1475631720e+00
2.0833333333e+04;3.3068898079e-01;6.0395105562e-01;6.8855797112e-01;1.0698416898e+00
2.2916666667e+04;3.8462842758e-01;6.0442765219e-01;7.1642990867e-01;1.0040757659e+00
2.5000000000e+04;4.2915560228e-01;6.1689555597e-01;7.5148829529e-01;9.6298245911e-01
2.7083333333e+04;4.8124870049e-01;6.1949593298e-01;7.8445874506e-01;9.1033825481e-01
2.9166666667e+04;5.4844952121e-01;6.5109906772e-01;8.5130891767e-01;8.7076367608e-01
3.1250000000e+04;5.5544060375e-01;5.6498635281e-01;7.9229025184e-01;7.9391769968e-01
3.3333333333e+04;5.9606678069e-01;5.8305460876e-01;8.3381549748e-01;7.7436313014e-01
3.5416666667e+04;6.3838570711e-01;5.8160869422e-01;8.6360001403e-01;7.3889296980e-01
3.7500000000e+04;6.6006136971e-01;5.6575305405e-01;8.6934316007e-01;7.0861418971e-01
3.9583333333e+04;6.7970042375e-01;5.5019208486e-01;8.7447355380e-01;6.8048425753e-01
4.1666666667e+04;7.1707247262e-01;5.4607247624e-01;9.0132573485e-01;6.5083980616e-01
4.3750000000e+04;7.5879251280e-01;5.5152823206e-01;9.3805621806e-01;6.2851965303e-01
