-2.403827980000e+00;-1.010625000000e+00;-8.639999000000e-04
-2.362382670000e+00;-1.010625000000e+00;-8.639599000000e-04
-2.362382670000e+00;-1.010625000000e+00;-8.639199000000e-04
-2.362382670000e+00;-1.010625000000e+00;-8.638799000000e-04
-2.362382670000e+00;-1.010625000000e+00;-8.638399000000e-04
-2.320937360000e+00;-1.010625000000e+00;-8.637999000000e-04
-2.320937360000e+00;-1.010625000000e+00;-8.637599000000e-04
-2.320937360000e+00;-1.010625000000e+00;-8.637199000000e-04
-2.320937360000e+00;-1.010625000000e+00;-8.636799000000e-04
-2.279492050000e+00;-1.010625000000e+00;-8.636399000000e-04
-2.279492050000e+00;-1.010625000000e+00;-8.635999000000e-04
-2.279492050000e+00;-1.010625000000e+00;-8.635599000000e-04
-2.238046740000e+00;-1.010625000000e+00;-8.635199000000e-04
-2.238046740000e+00;-9.900000000000e-01;-8.634799000000e-04
-2.238046740000e+00;-1.010625000000e+00;-8.634399000000e-04
-2.196601430000e+00;-1.010625000000e+00;-8.633999000000e-04
-2.196601430000e+00;-1.010625000000e+00;-8.633599000000e-04
-2.155156120000e+00;-9.900000000000e-01;-8.633199000000e-04
-2.155156120000e+00;-1.010625000000e+00;-8.632799000000e-04
-2.155156120000e+00;-1.010625000000e+00;-8.632399000000e-04
-2.113710810000e+00;-1.010625000000e+00;-8.631999000000e-04
-2.113710810000e+00;-1.010625000000e+00;-8.631599000000e-04
-2.072265500000e+00;-1.010625000000e+00;-8.631199000000e-04
-2.072265500000e+00;-9.900000000000e-01;-8.630799000000e-04
-2.072265500000e+00;-1.010625000000e+00;-8.630399000000e-04
-2.030820190000e+00;-1.010625000000e+00;-8.629999000000e-04
-2.030820190000e+00;-1.010625000000e+00;-8.629599000000e-04
-1.989374880000e+00;-9.900000000000e-01;-8.629199000000e-04
-1.989374880000e+00;-1.010625000000e+00;-8.628799000000e-04
-1.947929570000e+00;-1.010625000000e+00;-8.628399000000e-04
-1.947929570000e+00;-1.010625000000e+00;-8.627999000000e-04
-1.947929570000e+00;-9.900000000000e-01;-8.627599000000e-04
-1.906484260000e+00;-1.010625000000e+00;-8.627199000000e-04
-1.865038950000e+00;-9.900000000000e-01;-8.626799000000e-04
-1.865038950000e+00;-9.900000000000e-01;-8.626399000000e-04
-1.823593640000e+00;-1.010625000000e+00;-8.625999000000e-04
-1.823593640000e+00;-1.010625000000e+00;-8.625599000000e-04
-1.782148330000e+00;-9.900000000000e-01;-8.625199000000e-04
-1.782148330000e+00;-1.010625000000e+00;-8.624799000000e-04
-1.740703020000e+00;-1.010625000000e+00;-8.624399000000e-04
-1.740703020000e+00;-1.010625000000e+00;-8.623999000000e-04
-1.699257710000e+00;-1.010625000000e+00;-8.623599000000e-04
-1.699257710000e+00;-1.010625000000e+00;-8.623199000000e-04
-1.657812400000e+00;-1.010625000000e+00;-8.622799000000e-04
-1.616367090000e+00;-9.900000000000e-01;-8.622399000000e-04
-1.616367090000e+00;-9.900000000000e-01;-8.621999000000e-04
-1.574921780000e+00;-1.010625000000e+00;-8.621599000000e-04
-1.574921780000e+00;-9.900000000000e-01;-8.621199000000e-04
-1.533476470000e+00;-1.010625000000e+00;-8.620799000000e-04
-1.533476470000e+00;-9.900000000000e-01;-8.620399000000e-04
-1.492031160000e+00;-1.010625000000e+00;-8.619999000000e-04
-1.450585850000e+00;-9.900000000000e-01;-8.619599000000e-04
-1.450585850000e+00;-1.010625000000e+00;-8.619199000000e-04
-1.409140540000e+00;-1.010625000000e+00;-8.618799000000e-04
-1.367695230000e+00;-1.010625000000e+00;-8.618399000000e-04
-1.367695230000e+00;-9.900000000000e-01;-8.617999000000e-04
-1.326249920000e+00;-1.010625000000e+00;-8.617599000000e-04
-1.326249920000e+00;-1.010625000000e+00;-8.617199000000e-04
-1.284804610000e+00;-1.010625000000e+00;-8.616799000000e-04
-1.243359300000e+00;-1.010625000000e+00;-8.616399000000e-04
-1.243359300000e+00;-9.900000000000e-01;-8.615999000000e-04
-1.201913990000e+00;-9.900000000000e-01;-8.615599000000e-04
-1.160468680000e+00;-1.010625000000e+00;-8.615199000000e-04
-1.160468680000e+00;-9.900000000000e-01;-8.614799000000e-04
-1.119023370000e+00;-1.010625000000e+00;-8.614399000000e-04
-1.077578060000e+00;-9.900000000000e-01;-8.613999000000e-04
-1.077578060000e+00;-1.010625000000e+00;-8.613599000000e-04
-1.036132750000e+00;-9.900000000000e-01;-8.613199000000e-04
-9.946874400000e-01;-1.010625000000e+00;-8.612799000000e-04
-9.532421300000e-01;-1.010625000000e+00;-8.612399000000e-04
-9.117968200000e-01;-1.010625000000e+00;-8.611999000000e-04
-9.117968200000e-01;-9.900000000000e-01;-8.611599000000e-04
-8.703515100000e-01;-9.900000000000e-01;-8.611199000000e-04
-8.289062000000e-01;-9.900000000000e-01;-8.610799000000e-04
